Anon Student Id,Session Id,Time,KC_Model(MATHia),Level (Section),Problem Name,Step Name,Attempt At Step,Help Level,Selection,Action,Input,Outcome,CF (Rule Id),CF (Semantic Event ID),CF (Etalon),CF (Skill Previous p-Known),CF (Skill New p-Known),CF (Module),CF (Workspace Encounter),CF (Workspace Variant),CF (Workspace Progress Status),CF (Skill Opportunity),cf_school_id,cf_class_id,"Selection <- ifelse(Action == ""Done Button"", ""Done Button"", NA)",Monitor,Attempt_Count
s243,zi8ttowzgwcgog6jyfknntckxky:1660327840385,2022-08-12 18:12:00,,pre_launch_protocol,pre_launch_protocol_01,component6.1,1,0,,Attempt,"{value=25,000}",OK,,cfb76fa8-73b4-476b-9a58-e12a37ef670b,"{value=25,000}",,,pre_launch_protocol,0,empty-variant,GRADUATED,,sch7,c14,,False,0
s243,zi8ttowzgwcgog6jyfknntckxky:1660327840385,2022-08-12 18:12:00,,pre_launch_protocol,pre_launch_protocol_01,component8.1,1,0,,Attempt,{value=The London streets are busy.},ERROR," Hints, PPV provided 2 hint levels",f79355c1-67c9-4625-bb36-cb1d266f0429,{value=They have a lot of practice remembering a lot of locations.},,,pre_launch_protocol,0,empty-variant,GRADUATED,,sch7,c14,,False,0
s243,zi8ttowzgwcgog6jyfknntckxky:1660327840385,2022-08-12 18:12:00,,pre_launch_protocol,pre_launch_protocol_01,component8.1,2,0,,Attempt,{value=They have a lot of practice remembering a lot of locations.},OK,,f60b8846-7fda-4b2b-8f0a-ab1423e96731,{value=They have a lot of practice remembering a lot of locations.},,,pre_launch_protocol,0,empty-variant,GRADUATED,,sch7,c14,,False,0
s243,zi8ttowzgwcgog6jyfknntckxky:1660327840385,2022-08-12 18:12:00,,pre_launch_protocol,pre_launch_protocol_01,component11.1,1,0,,Attempt,{value=grows},OK,,aa425f03-df51-428a-9c2b-7eb067e96553,{value=grows},,,pre_launch_protocol,0,empty-variant,GRADUATED,,sch7,c14,,False,0
s243,zi8ttowzgwcgog6jyfknntckxky:1660327840385,2022-08-12 18:13:00,,pre_launch_protocol,pre_launch_protocol_01,,0,0,,Done Button,,OK,,540f9996-7398-4214-9916-cfefe21beb04,,,,pre_launch_protocol,0,empty-variant,GRADUATED,,sch7,c14,Done Button,False,0
s243,zi8ttowzgwcgog6jyfknntckxky:1660327840385,2022-08-12 18:19:00,,pre_launch_protocol,pre_launch_protocol_04,component15.1,1,0,,Attempt,{value=to do your best and see if you get the correct answer},OK,,62aa975f-8a98-4cab-bd2a-5c536ec0efb6,{value=to do your best and see if you get the correct answer},,,pre_launch_protocol,0,empty-variant,GRADUATED,,sch7,c14,,False,0
s243,zi8ttowzgwcgog6jyfknntckxky:1660327840385,2022-08-12 18:20:00,,pre_launch_protocol,pre_launch_protocol_04,,0,0,,Done Button,,ERROR,,1e686e18-76a8-4397-83b9-998bdc10eb24,,,,pre_launch_protocol,0,empty-variant,GRADUATED,,sch7,c14,Done Button,False,0
s243,zi8ttowzgwcgog6jyfknntckxky:1660327840385,2022-08-12 18:20:00,,pre_launch_protocol,pre_launch_protocol_04,,0,0,,Done Button,,ERROR,,8a243217-d24f-4c7a-8496-01258bf4851d,,,,pre_launch_protocol,0,empty-variant,GRADUATED,,sch7,c14,Done Button,False,0
s243,zi8ttowzgwcgog6jyfknntckxky:1660327840385,2022-08-12 18:20:00,,pre_launch_protocol,pre_launch_protocol_04,,0,0,,Done Button,,ERROR,,3679069f-550c-4a0e-b837-750aa81f0628,,,,pre_launch_protocol,0,empty-variant,GRADUATED,,sch7,c14,Done Button,False,0
s243,zi8ttowzgwcgog6jyfknntckxky:1660327840385,2022-08-12 18:20:00,,pre_launch_protocol,pre_launch_protocol_04,component24.1,0,1,,Hint Request,,INITIAL_HINT,Use 3-level hint from PPV,8894745a-4fe6-4a5f-90db-ca5b4e5ee954,{value=strawberry},,,pre_launch_protocol,0,empty-variant,GRADUATED,,sch7,c14,,False,0
s243,zi8ttowzgwcgog6jyfknntckxky:1660327840385,2022-08-12 18:20:00,,pre_launch_protocol,pre_launch_protocol_04,component24.1,0,2,,Hint Level Change,,HINT_LEVEL_CHANGE,,6d83f6ee-541c-45c7-840c-c0c70e1545bf,,,,pre_launch_protocol,0,empty-variant,GRADUATED,,sch7,c14,,False,0
s243,zi8ttowzgwcgog6jyfknntckxky:1660327840385,2022-08-12 18:21:00,,pre_launch_protocol,pre_launch_protocol_04,,0,0,,Done Button,,ERROR,,e02f3426-6d8d-48a2-ae81-b6a285556c22,,,,pre_launch_protocol,0,empty-variant,GRADUATED,,sch7,c14,Done Button,False,0
s243,zi8ttowzgwcgog6jyfknntckxky:1660327840385,2022-08-12 18:21:00,,pre_launch_protocol,pre_launch_protocol_04,,0,0,,Done Button,,ERROR,,d0a3d378-000d-4e9a-b5e5-4eff4f40074e,,,,pre_launch_protocol,0,empty-variant,GRADUATED,,sch7,c14,Done Button,True,0
s243,zi8ttowzgwcgog6jyfknntckxky:1660327840385,2022-08-12 18:21:00,,pre_launch_protocol,pre_launch_protocol_04,component18.1,0,1,,Hint Request,,INITIAL_HINT,Use 3-level hint from PPV,6e7eb919-b084-4e00-b00e-40bad261b512,{value=short},,,pre_launch_protocol,0,empty-variant,GRADUATED,,sch7,c14,,True,0
s243,zi8ttowzgwcgog6jyfknntckxky:1660327840385,2022-08-12 18:21:00,,pre_launch_protocol,pre_launch_protocol_04,component18.1,0,2,,Hint Level Change,,HINT_LEVEL_CHANGE,,85767e00-3e9e-4b93-ae34-b95f9d2a6f0a,,,,pre_launch_protocol,0,empty-variant,GRADUATED,,sch7,c14,,True,0
s243,zi8ttowzgwcgog6jyfknntckxky:1660327840385,2022-08-12 18:21:00,,pre_launch_protocol,pre_launch_protocol_04,component18.1,0,3,,Hint Level Change,,HINT_LEVEL_CHANGE,,8ffaa9fe-dbec-4827-9017-a236b1cc5a44,,,,pre_launch_protocol,0,empty-variant,GRADUATED,,sch7,c14,,True,0
s243,zi8ttowzgwcgog6jyfknntckxky:1660327840385,2022-08-12 18:21:00,,pre_launch_protocol,pre_launch_protocol_04,,0,0,,Done Button,,ERROR,,51d131b8-c32a-4810-9fec-2b62fad50533,,,,pre_launch_protocol,0,empty-variant,GRADUATED,,sch7,c14,Done Button,True,0
s243,zi8ttowzgwcgog6jyfknntckxky:1660327840385,2022-08-12 18:21:00,,pre_launch_protocol,pre_launch_protocol_04,component18.1,0,3,,Hint Request,,INITIAL_HINT,Use 3-level hint from PPV,921a1c3d-f220-44bf-a18f-ed66108d5656,{value=short},,,pre_launch_protocol,0,empty-variant,GRADUATED,,sch7,c14,,True,0
s243,zi8ttowzgwcgog6jyfknntckxky:1660327840385,2022-08-12 18:22:00,,pre_launch_protocol,pre_launch_protocol_04,,0,0,,Done Button,,ERROR,,e7732d3e-90bc-4e2f-b033-af6479aa3ab3,,,,pre_launch_protocol,0,empty-variant,GRADUATED,,sch7,c14,Done Button,True,0
s243,zi8ttowzgwcgog6jyfknntckxky:1660327840385,2022-08-12 18:22:00,,pre_launch_protocol,pre_launch_protocol_04,,0,0,,Done Button,,ERROR,,456baf94-73dc-48e9-8f35-d0fecd0df8f5,,,,pre_launch_protocol,0,empty-variant,GRADUATED,,sch7,c14,Done Button,True,0
s243,zi8ttowzgwcgog6jyfknntckxky:1660327840385,2022-08-12 18:22:00,,pre_launch_protocol,pre_launch_protocol_04,component18.1,0,3,,Hint Request,,INITIAL_HINT,Use 3-level hint from PPV,a9b7eb58-1019-4aea-b95f-82df7692ad2d,{value=short},,,pre_launch_protocol,0,empty-variant,GRADUATED,,sch7,c14,,True,0
s243,zi8ttowzgwcgog6jyfknntckxky:1660327840385,2022-08-12 18:22:00,,pre_launch_protocol,pre_launch_protocol_04,component22.1,1,0,,Attempt,"{value=elefet, escape-in-messages=true}",ERROR," Hints, PPV provided 3 hint levels",72091e86-95cc-4870-9c02-996eec0f9f9c,{value=ermine},,,pre_launch_protocol,0,empty-variant,GRADUATED,,sch7,c14,,True,0
s243,zi8ttowzgwcgog6jyfknntckxky:1660327840385,2022-08-12 18:22:00,,pre_launch_protocol,pre_launch_protocol_04,component22.1,2,0,,Attempt,"{value=idk, escape-in-messages=true}",ERROR," Hints, PPV provided 3 hint levels",952f44bc-b589-488e-8ccc-e2ad603246c4,{value=ermine},,,pre_launch_protocol,0,empty-variant,GRADUATED,,sch7,c14,,True,0
s243,zi8ttowzgwcgog6jyfknntckxky:1660327840385,2022-08-12 18:22:00,,pre_launch_protocol,pre_launch_protocol_04,component22.1,3,0,,Attempt,"{value=idk, escape-in-messages=true}",ERROR," Hints, PPV provided 3 hint levels",69a40bd6-9f45-4ddd-8fac-e59e6fa9d400,{value=ermine},,,pre_launch_protocol,0,empty-variant,GRADUATED,,sch7,c14,,True,0
s243,zi8ttowzgwcgog6jyfknntckxky:1660327840385,2022-08-12 18:22:00,,pre_launch_protocol,pre_launch_protocol_04,component22.1,0,2,,Hint Request,,INITIAL_HINT,Use 3-level hint from PPV,222c8dfc-357c-45d0-aad9-8649307b0df1,{value=ermine},,,pre_launch_protocol,0,empty-variant,GRADUATED,,sch7,c14,,True,0
s243,zi8ttowzgwcgog6jyfknntckxky:1660327840385,2022-08-12 18:22:00,,pre_launch_protocol,pre_launch_protocol_04,component22.1,4,0,,Attempt,"{value=elephant, escape-in-messages=true}",JIT,Student entered first JIT answer,78368eae-843f-4cbc-b068-49843f88a9f7,{value=ermine},,,pre_launch_protocol,0,empty-variant,GRADUATED,,sch7,c14,,True,0
s243,zi8ttowzgwcgog6jyfknntckxky:1660327840385,2022-08-12 18:23:00,,pre_launch_protocol,pre_launch_protocol_04,component22.1,0,2,,Hint Request,,INITIAL_HINT,Use 3-level hint from PPV,407139ba-f5bd-4ec5-8429-f959d080241b,{value=ermine},,,pre_launch_protocol,0,empty-variant,GRADUATED,,sch7,c14,,True,0
s243,zi8ttowzgwcgog6jyfknntckxky:1660327840385,2022-08-12 18:23:00,,pre_launch_protocol,pre_launch_protocol_04,component22.1,0,2,,Hint Request,,INITIAL_HINT,Use 3-level hint from PPV,a471f3ee-c778-40e6-97ad-37c452c3f56a,{value=ermine},,,pre_launch_protocol,0,empty-variant,GRADUATED,,sch7,c14,,True,0
s243,zi8ttowzgwcgog6jyfknntckxky:1660327840385,2022-08-12 18:23:00,,pre_launch_protocol,pre_launch_protocol_04,,0,0,,Done Button,,ERROR,,7d64fcfd-6b1f-47a0-8055-8dabe9bf4059,,,,pre_launch_protocol,0,empty-variant,GRADUATED,,sch7,c14,Done Button,True,0
s243,zi8ttowzgwcgog6jyfknntckxky:1660327840385,2022-08-12 18:23:00,,pre_launch_protocol,pre_launch_protocol_04,component22.1,5,0,,Attempt,"{value=elephant, escape-in-messages=true}",JIT,Student entered first JIT answer,a1d3b2cb-d851-40aa-9f90-cb3ee6ed7b23,{value=ermine},,,pre_launch_protocol,0,empty-variant,GRADUATED,,sch7,c14,,True,0
s243,zi8ttowzgwcgog6jyfknntckxky:1660327840385,2022-08-12 18:23:00,,pre_launch_protocol,pre_launch_protocol_04,,0,0,,Done Button,,ERROR,,603e2c18-ceba-4f62-b4d8-383f130d52a8,,,,pre_launch_protocol,0,empty-variant,GRADUATED,,sch7,c14,Done Button,True,0
s243,zi8ttowzgwcgog6jyfknntckxky:1660327840385,2022-08-12 18:23:00,,pre_launch_protocol,pre_launch_protocol_04,component24.1,0,2,,Hint Request,,INITIAL_HINT,Use 3-level hint from PPV,5bb3b9c5-8afa-4fe4-9e08-02a896347494,{value=strawberry},,,pre_launch_protocol,0,empty-variant,GRADUATED,,sch7,c14,,True,0
s243,zi8ttowzgwcgog6jyfknntckxky:1660327840385,2022-08-12 18:24:00,,pre_launch_protocol,pre_launch_protocol_04,component24.1,0,3,,Hint Level Change,,HINT_LEVEL_CHANGE,,d6397e84-2c72-4690-959e-b2d0c8c30911,,,,pre_launch_protocol,0,empty-variant,GRADUATED,,sch7,c14,,True,0
s243,zi8ttowzgwcgog6jyfknntckxky:1660327840385,2022-08-12 18:24:00,,pre_launch_protocol,pre_launch_protocol_04,,0,0,,Done Button,,ERROR,,c7dcb734-1f1e-46a4-8422-9b2a455a41fd,,,,pre_launch_protocol,0,empty-variant,GRADUATED,,sch7,c14,Done Button,True,0
s243,zi8ttowzgwcgog6jyfknntckxky:1660327840385,2022-08-12 18:25:00,,pre_launch_protocol,pre_launch_protocol_04,,0,0,,Done Button,,ERROR,,04194c3b-b11f-4c42-898c-f39134060834,,,,pre_launch_protocol,0,empty-variant,GRADUATED,,sch7,c14,Done Button,True,0
s243,zi8ttowzgwcgog6jyfknntckxky:1660327840385,2022-08-12 18:25:00,,pre_launch_protocol,pre_launch_protocol_04,component22.1,6,0,,Attempt,"{value=idj, escape-in-messages=true}",ERROR," Hints, PPV provided 3 hint levels",a7cfc469-c7cc-43e9-81e1-6d8e86eddf9e,{value=ermine},,,pre_launch_protocol,0,empty-variant,GRADUATED,,sch7,c14,,True,0
s243,zi8ttowzgwcgog6jyfknntckxky:1660327840385,2022-08-12 18:26:00,,pre_launch_protocol,pre_launch_protocol_04,component22.1,7,0,,Attempt,"{value=idk, escape-in-messages=true}",ERROR," Hints, PPV provided 3 hint levels",a9698aa4-1e00-4e1a-ada6-6aaa86e03b8c,{value=ermine},,,pre_launch_protocol,0,empty-variant,GRADUATED,,sch7,c14,,True,0
s243,zi8ttowzgwcgog6jyfknntckxky:1660327840385,2022-08-12 18:26:00,,pre_launch_protocol,pre_launch_protocol_04,component22.1,0,2,,Hint Request,,INITIAL_HINT,Use 3-level hint from PPV,1e11b9d8-daec-449a-b189-e950e34f6ab2,{value=ermine},,,pre_launch_protocol,0,empty-variant,GRADUATED,,sch7,c14,,True,0
s243,zi8ttowzgwcgog6jyfknntckxky:1660327840385,2022-08-12 18:27:00,,pre_launch_protocol,pre_launch_protocol_04,,0,0,,Done Button,,ERROR,,e336710e-fb81-45a7-919d-424516d511bc,,,,pre_launch_protocol,0,empty-variant,GRADUATED,,sch7,c14,Done Button,True,0
s243,zi8ttowzgwcgog6jyfknntckxky:1660327840385,2022-08-12 18:28:00,,pre_launch_protocol,pre_launch_protocol_04,,0,0,,Done Button,,ERROR,,a68fc535-c21c-40d8-88d0-817068256d22,,,,pre_launch_protocol,0,empty-variant,GRADUATED,,sch7,c14,Done Button,True,0
